t=2025-06-27T10:26:09+0100 lvl=info msg="no configuration paths supplied"
t=2025-06-27T10:26:09+0100 lvl=info msg="using configuration at default config path" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml"
t=2025-06-27T10:26:09+0100 lvl=info msg="open config file" path="/Users/bamikaleamupitan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-06-27T10:39:58+0100 lvl=info msg="join connections" obj=join id=3efc801457a1 l=[::1]:3000 r=87.249.132.153:48100
t=2025-06-27T10:40:00+0100 lvl=info msg="join connections" obj=join id=ee1f2468efb7 l=[::1]:3000 r=87.249.132.153:46972
t=2025-06-27T10:40:02+0100 lvl=info msg="join connections" obj=join id=7c78a8ffc7ba l=[::1]:3000 r=87.249.132.153:48104
t=2025-06-27T10:40:02+0100 lvl=info msg="join connections" obj=join id=f57386164afc l=[::1]:3000 r=87.249.132.153:48104
t=2025-06-27T10:40:02+0100 lvl=info msg="join connections" obj=join id=c8df2adecda5 l=[::1]:3000 r=87.249.132.153:48104
t=2025-06-27T10:40:03+0100 lvl=info msg="join connections" obj=join id=2d3cc1a8c15e l=[::1]:3000 r=87.249.132.153:39262
t=2025-06-27T10:40:03+0100 lvl=info msg="join connections" obj=join id=0b145c7fb531 l=[::1]:3000 r=87.249.132.153:39266
t=2025-06-27T10:40:03+0100 lvl=info msg="join connections" obj=join id=abd34b5c7a6a l=[::1]:3000 r=87.249.132.153:39266
t=2025-06-27T10:40:05+0100 lvl=info msg="join connections" obj=join id=9f64f10c86f4 l=[::1]:3000 r=87.249.132.153:48104
t=2025-06-27T10:40:07+0100 lvl=info msg="join connections" obj=join id=5cbbccbb0433 l=[::1]:3000 r=87.249.132.153:50060
t=2025-06-27T10:40:07+0100 lvl=info msg="join connections" obj=join id=bcc3dd3ee203 l=[::1]:3000 r=87.249.132.153:50060
t=2025-06-27T10:40:08+0100 lvl=info msg="join connections" obj=join id=0dcb1a7c4f99 l=[::1]:3000 r=87.249.132.153:50060
t=2025-06-27T10:40:08+0100 lvl=info msg="join connections" obj=join id=43e6403747d0 l=[::1]:3000 r=87.249.132.153:39876
t=2025-06-27T10:40:08+0100 lvl=info msg="join connections" obj=join id=06a90c661001 l=[::1]:3000 r=87.249.132.153:39876
t=2025-06-27T10:40:08+0100 lvl=info msg="join connections" obj=join id=518683a031fc l=[::1]:3000 r=87.249.132.153:60302
t=2025-06-27T10:40:10+0100 lvl=info msg="join connections" obj=join id=802547bd6792 l=[::1]:3000 r=87.249.132.153:50060
t=2025-06-27T10:40:12+0100 lvl=info msg="join connections" obj=join id=eeb4a7a65b6d l=[::1]:3000 r=87.249.132.153:39594
t=2025-06-27T10:40:12+0100 lvl=info msg="join connections" obj=join id=72dc3879a614 l=[::1]:3000 r=87.249.132.153:39594
t=2025-06-27T10:40:12+0100 lvl=info msg="join connections" obj=join id=1f26ace76b6d l=[::1]:3000 r=87.249.132.153:39594
t=2025-06-27T10:40:13+0100 lvl=info msg="join connections" obj=join id=4afcf6f43e95 l=[::1]:3000 r=87.249.132.153:39604
t=2025-06-27T10:40:13+0100 lvl=info msg="join connections" obj=join id=53af33a8a0ac l=[::1]:3000 r=87.249.132.153:39620
t=2025-06-27T10:40:13+0100 lvl=info msg="join connections" obj=join id=f14c40a56bb9 l=[::1]:3000 r=87.249.132.153:39604
t=2025-06-27T10:40:15+0100 lvl=info msg="join connections" obj=join id=48e128b0a8a3 l=[::1]:3000 r=87.249.132.153:39594
t=2025-06-27T10:40:15+0100 lvl=info msg="join connections" obj=join id=a058929192ec l=[::1]:3000 r=87.249.132.153:35618
t=2025-06-27T10:40:17+0100 lvl=info msg="join connections" obj=join id=87203a996b6c l=[::1]:3000 r=87.249.132.153:39890
t=2025-06-27T10:40:17+0100 lvl=info msg="join connections" obj=join id=a6f5734847a0 l=[::1]:3000 r=87.249.132.153:39890
t=2025-06-27T10:40:17+0100 lvl=info msg="join connections" obj=join id=8061b78853a4 l=[::1]:3000 r=87.249.132.153:39890
t=2025-06-27T10:40:17+0100 lvl=info msg="join connections" obj=join id=028bca01d215 l=[::1]:3000 r=87.249.132.153:39890
t=2025-06-27T10:40:18+0100 lvl=info msg="join connections" obj=join id=d0a1c6312142 l=[::1]:3000 r=87.249.132.153:51970
t=2025-06-27T10:40:18+0100 lvl=info msg="join connections" obj=join id=6bae71a38767 l=[::1]:3000 r=87.249.132.153:51970
t=2025-06-27T10:40:18+0100 lvl=info msg="join connections" obj=join id=f96a40ac2995 l=[::1]:3000 r=87.249.132.153:39892
t=2025-06-27T10:40:20+0100 lvl=info msg="join connections" obj=join id=fdf729521418 l=[::1]:3000 r=87.249.132.153:39890
t=2025-06-27T10:40:22+0100 lvl=info msg="join connections" obj=join id=5bae8a744cbc l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:23+0100 lvl=info msg="join connections" obj=join id=8fbb2dbe589e l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:23+0100 lvl=info msg="join connections" obj=join id=8eec23007112 l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:23+0100 lvl=info msg="join connections" obj=join id=17b108ee9daf l=[::1]:3000 r=87.249.132.153:43156
t=2025-06-27T10:40:23+0100 lvl=info msg="join connections" obj=join id=c626297ce6f1 l=[::1]:3000 r=87.249.132.153:43156
t=2025-06-27T10:40:23+0100 lvl=info msg="join connections" obj=join id=3bdd3b92150d l=[::1]:3000 r=87.249.132.153:43170
t=2025-06-27T10:40:26+0100 lvl=info msg="join connections" obj=join id=d53d309962ad l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:26+0100 lvl=info msg="join connections" obj=join id=cbd41bb2c84e l=[::1]:3000 r=87.249.132.153:44062
t=2025-06-27T10:40:28+0100 lvl=info msg="join connections" obj=join id=a0700757d93c l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:28+0100 lvl=info msg="join connections" obj=join id=fe9b236711ac l=[::1]:3000 r=87.249.132.153:45512
t=2025-06-27T10:40:28+0100 lvl=info msg="join connections" obj=join id=03792816a4b0 l=[::1]:3000 r=87.249.132.153:45504
t=2025-06-27T10:40:28+0100 lvl=info msg="join connections" obj=join id=c4154a678afa l=[::1]:3000 r=87.249.132.153:45504
t=2025-06-27T10:40:30+0100 lvl=info msg="join connections" obj=join id=431af4657d8e l=[::1]:3000 r=87.249.132.153:47580
t=2025-06-27T10:40:32+0100 lvl=info msg="join connections" obj=join id=3887318dfaae l=[::1]:3000 r=87.249.132.153:45518
t=2025-06-27T10:40:32+0100 lvl=info msg="join connections" obj=join id=bf8d021f29f5 l=[::1]:3000 r=87.249.132.153:45518
t=2025-06-27T10:40:32+0100 lvl=info msg="join connections" obj=join id=feeef519d44e l=[::1]:3000 r=87.249.132.153:45518
t=2025-06-27T10:40:33+0100 lvl=info msg="join connections" obj=join id=3788faecd198 l=[::1]:3000 r=87.249.132.153:50812
t=2025-06-27T10:40:33+0100 lvl=info msg="join connections" obj=join id=9e7c3242d459 l=[::1]:3000 r=87.249.132.153:50824
t=2025-06-27T10:40:33+0100 lvl=info msg="join connections" obj=join id=393386d12b26 l=[::1]:3000 r=87.249.132.153:50824
t=2025-06-27T10:40:35+0100 lvl=info msg="join connections" obj=join id=64cff20c066e l=[::1]:3000 r=87.249.132.153:45518
t=2025-06-27T10:40:37+0100 lvl=info msg="join connections" obj=join id=cea26439e77c l=[::1]:3000 r=87.249.132.153:45522
t=2025-06-27T10:40:37+0100 lvl=info msg="join connections" obj=join id=1cf991ed578c l=[::1]:3000 r=87.249.132.153:45522
t=2025-06-27T10:40:38+0100 lvl=info msg="join connections" obj=join id=b6c033cb2749 l=[::1]:3000 r=87.249.132.153:45522
t=2025-06-27T10:40:38+0100 lvl=info msg="join connections" obj=join id=6643015c95fc l=[::1]:3000 r=87.249.132.153:40604
t=2025-06-27T10:40:38+0100 lvl=info msg="join connections" obj=join id=c1dda1815687 l=[::1]:3000 r=87.249.132.153:40596
t=2025-06-27T10:40:38+0100 lvl=info msg="join connections" obj=join id=9f4135e40534 l=[::1]:3000 r=87.249.132.153:40596
t=2025-06-27T10:40:40+0100 lvl=info msg="join connections" obj=join id=decb27dc7517 l=[::1]:3000 r=87.249.132.153:45522
t=2025-06-27T10:40:43+0100 lvl=info msg="join connections" obj=join id=bcbda42f9d24 l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:43+0100 lvl=info msg="join connections" obj=join id=b2fc4e879736 l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:44+0100 lvl=info msg="join connections" obj=join id=0efca31f7a0b l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:44+0100 lvl=info msg="join connections" obj=join id=7bb95cf64dd4 l=[::1]:3000 r=87.249.132.153:42082
t=2025-06-27T10:40:46+0100 lvl=info msg="join connections" obj=join id=944c949de3c0 l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:46+0100 lvl=info msg="join connections" obj=join id=94a5057c45be l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:48+0100 lvl=info msg="join connections" obj=join id=ad2467b63da1 l=[::1]:3000 r=87.249.132.153:42094
t=2025-06-27T10:40:48+0100 lvl=info msg="join connections" obj=join id=f362c0a6b412 l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:50+0100 lvl=info msg="join connections" obj=join id=79214bd11c2b l=[::1]:3000 r=87.249.132.153:35628
t=2025-06-27T10:40:52+0100 lvl=info msg="join connections" obj=join id=fb0cdd77db5e l=[::1]:3000 r=87.249.132.153:44484
t=2025-06-27T10:40:53+0100 lvl=info msg="join connections" obj=join id=71100314a87d l=[::1]:3000 r=87.249.132.153:44484
t=2025-06-27T10:40:53+0100 lvl=info msg="join connections" obj=join id=bf5b8316e919 l=[::1]:3000 r=87.249.132.153:44484
t=2025-06-27T10:40:53+0100 lvl=info msg="join connections" obj=join id=776f781369a2 l=[::1]:3000 r=87.249.132.153:40190
t=2025-06-27T10:40:53+0100 lvl=info msg="join connections" obj=join id=9cd8c2dc73a5 l=[::1]:3000 r=87.249.132.153:40190
t=2025-06-27T10:40:53+0100 lvl=info msg="join connections" obj=join id=be991742e617 l=[::1]:3000 r=87.249.132.153:40178
t=2025-06-27T10:40:55+0100 lvl=info msg="join connections" obj=join id=7d695590aabd l=[::1]:3000 r=87.249.132.153:44484
t=2025-06-27T10:40:57+0100 lvl=info msg="join connections" obj=join id=83a530b80c37 l=[::1]:3000 r=87.249.132.153:41164
t=2025-06-27T10:40:58+0100 lvl=info msg="join connections" obj=join id=1d82a7591504 l=[::1]:3000 r=87.249.132.153:41164
t=2025-06-27T10:40:58+0100 lvl=info msg="join connections" obj=join id=9368d60eb45a l=[::1]:3000 r=87.249.132.153:41164
